rank,id,object_type,RA,Dec,constellation,major_axis_deg,minor_axis_deg,mag_v,mag_b,mag_proxy,wikipedia_url,common_names,identifiers
750,NGC3136,G,10:05:48.16,-67:22:40.7,Car,4.2,2.94,10.67,11.7,10.67,https://en.wikipedia.org/wiki/NGC_3136,,"2MASX J10054815-6722407,ESO 092-008,ESO-LV 92-0080,PGC 029311"
752,NGC5033,G,13:13:27.47,+36:35:38.2,CVn,9.84,4.58,10.68,10.7,10.68,https://en.wikipedia.org/wiki/NGC_5033,,"2MASX J13132753+3635371,IRAS 13111+3651,MCG +06-29-062,PGC 045948,SDSS J131327.49+363538.0,UGC 08307"
753,IC5152,G,22:02:41.51,-51:17:47.2,Ind,5.13,3.6,10.68,10.4,10.68,https://en.wikipedia.org/wiki/IC_5152,,"2MASX J22024152-5117471,ESO 237-027,ESO-LV 237-0270,IRAS 21594-5132,PGC 067908"
754,NGC2336,G,07:27:04.05,+80:10:41.1,Cam,5.01,2.81,10.68,11.19,10.68,https://en.wikipedia.org/wiki/NGC_2336,,"2MASX J07270405+8010410,IRAS 07184+8016,MCG +13-06-006,PGC 021033,UGC 03809"
755,NGC2146,G,06:18:37.71,+78:21:25.3,Cam,5.31,4.32,10.69,10.53,10.69,https://en.wikipedia.org/wiki/NGC_2146,,"2MASX J06183771+7821252,IRAS 06106+7822,MCG +13-05-022,PGC 018797,UGC 03429"
756,NGC1425,G,03:42:11.47,-29:53:36.0,For,4.91,2.15,10.7,11.32,10.7,https://en.wikipedia.org/wiki/NGC_1425,,"2MASX J03421146-2953359,2MASX J03421153-2953366,ESO 419-004,ESO-LV 419-0040,IRAS 03401-3002,MCG -05-09-023,PGC 013602,UGCA 084"
757,NGC3718,G,11:32:34.85,+53:04:04.5,UMa,4.7,2.34,10.7,11.52,10.7,https://en.wikipedia.org/wiki/NGC_3718,,"2MASX J11323494+5304041,MCG +09-19-114,PGC 035616,UGC 06524"
767,NGC3079,G,10:01:57.80,+55:40:47.2,UMa,8.18,1.29,10.71,11.41,10.71,https://en.wikipedia.org/wiki/NGC_3079,,"2MASX J10015792+5540480,IRAS 09585+5555,MCG +09-17-010,PGC 029050,SDSS J100157.94+554047.8,UGC 05387"
768,NGC5005,G,13:10:56.23,+37:03:33.1,CVn,4.82,1.52,10.71,10.54,10.71,https://en.wikipedia.org/wiki/NGC_5005,,"2MASX J13105631+3703321,C 029,IRAS 13086+3719,MCG +06-29-052,PGC 045749,UGC 08256"
770,NGC4710,G,12:49:38.83,+15:09:55.6,Com,4.39,1.13,10.71,11.6,10.71,https://en.wikipedia.org/wiki/NGC_4710,,"2MASX J12493895+1509557,IRAS 12471+1526,MCG +03-33-009,PGC 043375,UGC 07980"
771,NGC4936,G,13:04:16.89,-30:31:34.5,Cen,2.85,2.43,10.71,11.95,10.71,https://en.wikipedia.org/wiki/NGC_4936,,"2MASX J13041709-3031347,ESO 443-047,ESO-LV 443-0470,MCG -05-31-028,PGC 045174"
772,NGC1537,G,04:13:40.71,-31:38:43.5,Eri,4.35,2.76,10.72,11.47,10.72,https://en.wikipedia.org/wiki/NGC_1537,,"2MASX J04134070-3138434,ESO 420-012,ESO-LV 420-0120,MCG -05-11-005,PGC 014695"
774,NGC3898,G,11:49:15.37,+56:05:03.7,UMa,3.47,2.11,10.72,11.26,10.72,https://en.wikipedia.org/wiki/NGC_3898,,"2MASX J11491536+5605036,MCG +09-19-204,PGC 036921,SDSS J114915.24+560504.2,UGC 06787"
775,IC0500,G,08:12:39.60,-16:03:02.9,Pup,1.77,0.71,,,10.72,https://en.wikipedia.org/wiki/IC_500,,"2MASX J08123960-1603028,MCG -03-21-007,PGC 023011"
777,NGC4589,G,12:37:24.99,+74:11:30.9,Dra,2.93,2.31,10.74,11.7,10.74,https://en.wikipedia.org/wiki/NGC_4589,,"2MASX J12372503+7411307,MCG +12-12-013,PGC 042139,UGC 07797"
779,IC0422,G,05:32:18.55,-17:13:25.9,Lep,1.04,0.93,,,10.74,https://en.wikipedia.org/wiki/IC_422,,"2MASX J05321853-1713259,IRAS 05301-1715,MCG -03-15-001,PGC 017409"
780,NGC3945,G,11:53:13.73,+60:40:32.0,UMa,5.55,3.29,10.75,11.7,10.75,https://en.wikipedia.org/wiki/NGC_3945,,"2MASX J11531372+6040320,IRAS 11506+6056,MCG +10-17-096,PGC 037258,UGC 06860"
781,NGC4666,G,12:45:08.59,-00:27:42.8,Vir,4.97,1.97,10.75,11.46,10.75,https://en.wikipedia.org/wiki/NGC_4666,,"2MASX J12450867-0027428,IRAS 12425-0011,MCG +00-33-008,PGC 042975,SDSS J124508.16-002742.8,SDSS J124508.59-002742.7,UGC 07926"
782,NGC3245,G,10:27:18.39,+28:30:26.8,LMi,3.61,2.3,10.75,11.66,10.75,https://en.wikipedia.org/wiki/NGC_3245,,"2MASX J10271836+2830267,IRAS 10245+2845,MCG +05-25-013,PGC 030744,SDSS J102718.40+283026.6,UGC 05663"
783,NGC3810,G,11:40:58.76,+11:28:16.1,Leo,3.35,2.29,10.75,11.28,10.75,https://en.wikipedia.org/wiki/NGC_3810,,"2MASX J11405873+1128160,IRAS 11383+1144,MCG +02-30-010,PGC 036243,SDSS J114058.75+112816.0,SDSS J114058.75+112816.1,SDSS J114058.76+112816.1,UGC 06644"
784,NGC1387,G,03:36:57.06,-35:30:23.9,For,3.01,2.89,10.75,11.77,10.75,https://en.wikipedia.org/wiki/NGC_1387,,"2MASX J03365707-3530240,ESO 358-036,ESO-LV 358-0360,IRAS 03350-3540,MCG -06-09-007,PGC 013344"
787,NGC5419,G,14:03:38.73,-33:58:41.7,Cen,3.98,2.95,10.77,11.9,10.77,https://en.wikipedia.org/wiki/NGC_5419,,"2MASX J14033877-3358422,ESO 384-039,ESO-LV 384-0390,MCG -06-31-019,PGC 050100"
788,NGC5266,G,13:43:02.11,-48:10:09.9,Cen,2.92,2.09,10.77,12.02,10.77,https://en.wikipedia.org/wiki/NGC_5266,,"2MASX J13430212-4810097,ESO 220-033,ESO-LV 220-0330,IRAS 13399-4755,PGC 048593"
789,NGC0821,G,02:08:21.14,+10:59:41.7,Ari,2.45,2.1,10.77,11.76,10.77,https://en.wikipedia.org/wiki/NGC_821,,"2MASX J02082114+1059415,MCG +02-06-034,PGC 008160,UGC 01631"
790,NGC3610,G,11:18:25.27,+58:47:10.6,UMa,2.39,2.37,10.77,11.63,10.77,https://en.wikipedia.org/wiki/NGC_3610,,"2MASX J11182527+5847104,MCG +10-16-107,PGC 034566,SDSS J111825.27+584710.6,UGC 06319"
791,NGC4251,G,12:18:08.25,+28:10:31.4,Com,2.34,1.23,10.77,11.63,10.77,https://en.wikipedia.org/wiki/NGC_4251,,"2MASX J12180830+2810310,MCG +05-29-050,PGC 039492,UGC 07338"
792,NGC4026,G,11:59:25.19,+50:57:42.1,UMa,4.41,0.87,10.78,11.7,10.78,https://en.wikipedia.org/wiki/NGC_4026,,"2MASX J11592518+5057420,MCG +09-20-052,PGC 037760,UGC 06985"
793,NGC5044,G,13:15:23.97,-16:23:07.9,Vir,3.66,3.17,10.78,11.58,10.78,https://en.wikipedia.org/wiki/NGC_5044,,"2MASX J13152396-1623079,MCG -03-34-034,PGC 046115,UGCA 341"
794,NGC4618,G,12:41:32.85,+41:09:02.8,CVn,3.56,2.29,10.78,11.31,10.78,https://en.wikipedia.org/wiki/NGC_4618,,"2MASX J12413284+4109027,IRAS 12391+4125,MCG +07-26-037,PGC 042575,UGC 07853"
796,NGC5054,G,13:16:58.49,-16:38:05.5,Vir,5.04,2.9,10.79,11.64,10.79,https://en.wikipedia.org/wiki/NGC_5054,,"2MASX J13165848-1638054,IRAS 13142-1622,MCG -03-34-039,PGC 046247,UGCA 344"
797,NGC3904,G,11:49:13.22,-29:16:36.3,Hya,3.47,2.51,10.79,11.79,10.79,https://en.wikipedia.org/wiki/NGC_3904,,"2MASX J11491320-2916360,ESO 440-013,ESO-LV 440-0130,MCG -05-28-009,PGC 036918"
799,NGC1527,G,04:08:24.14,-47:53:49.3,Hor,4.58,1.79,10.8,11.71,10.8,https://en.wikipedia.org/wiki/NGC_1527,,"2MASX J04082413-4753493,ESO 201-020,ESO-LV 201-0200,PGC 014526"
804,NGC2566,G,08:18:45.66,-25:29:58.3,Pup,3.98,2.75,10.81,11.79,10.81,https://en.wikipedia.org/wiki/NGC_2566,,"2MASX J08184560-2529582,ESO 495-003,ESO-LV 495-0030,IRAS 08166-2520,MCG -04-20-008,PGC 023303,UGCA 138"
805,NGC5838,G,15:05:26.26,+02:05:57.6,Vir,3.86,1.29,10.81,11.79,10.81,https://en.wikipedia.org/wiki/NGC_5838,,"2MASX J15052627+0205576,IRAS 15029+0217,MCG +00-38-022,PGC 053862,UGC 09692"
806,NGC3613,G,11:18:36.11,+58:00:00.0,UMa,3.55,1.78,10.81,11.74,10.81,https://en.wikipedia.org/wiki/NGC_3613,,"2MASX J11183613+5759597,MCG +10-16-109,PGC 034583,SDSS J111836.10+580000.0,UGC 06323"
807,NGC1201,G,03:04:07.98,-26:04:10.7,For,3.41,1.96,10.81,11.7,10.81,https://en.wikipedia.org/wiki/NGC_1201,,"2MASX J03040796-2604105,ESO 480-028,ESO-LV 480-0280,MCG -04-08-023,PGC 011559"
808,NGC4111,G,12:07:03.13,+43:03:56.6,CVn,1.78,0.64,10.81,11.67,10.81,https://en.wikipedia.org/wiki/NGC_4111,,"2MASX J12070312+4303554,MCG +07-25-026,PGC 038440,UGC 07103"
812,NGC3665,G,11:24:43.67,+38:45:46.3,UMa,4.06,3.0,10.83,11.78,10.83,https://en.wikipedia.org/wiki/NGC_3665,,"2MASX J11244363+3845460,IRAS 11220+3902,MCG +07-24-003,PGC 035064,SDSS J112443.66+384546.0,UGC 06426"
813,NGC4371,G,12:24:55.43,+11:42:15.2,Vir,3.88,1.81,10.83,11.68,10.83,https://en.wikipedia.org/wiki/NGC_4371,,"2MASX J12245542+1142154,MCG +02-32-033,PGC 040442,SDSS J122455.43+114215.1,UGC 07493"
814,NGC6876,G,20:18:19.15,-70:51:31.7,Pav,3.46,3.0,10.83,11.94,10.83,https://en.wikipedia.org/wiki/NGC_6876,,"2MASX J20181914-7051317,ESO 073-035,ESO-LV 73-0350,PGC 064447"
817,NGC4192,G,12:13:48.29,+14:54:01.2,Com,11.04,2.66,10.84,10.82,10.84,https://en.wikipedia.org/wiki/Messier_98,,"2MASX J12134829+1454016,IRAS 12112+1510,MCG +03-31-079,PGC 039028,SDSS J121348.28+145401.6,UGC 07231"
818,NGC4036,G,12:01:26.75,+61:53:44.8,UMa,4.85,2.08,10.84,11.54,10.84,https://en.wikipedia.org/wiki/NGC_4036,,"2MASX J12012689+6153445,IRAS 11588+6210,MCG +10-17-125,PGC 037930,SDSS J120126.74+615344.7,SDSS J120126.75+615344.8,UGC 07005"
819,NGC7689,G,23:33:16.73,-54:05:40.1,Phe,3.1,1.97,10.84,12.13,10.84,https://en.wikipedia.org/wiki/NGC_7689,,"2MASX J23331672-5405401,ESO 192-007,ESO-LV 192-0070,IRAS 23305-5422,PGC 071729"
821,NGC5018,G,13:13:01.03,-19:31:05.5,Vir,3.49,2.17,10.85,11.68,10.85,https://en.wikipedia.org/wiki/NGC_5018,,"2MASX J13130099-1931058,ESO 576-010,ESO-LV 576-0100,IRAS 13103-1915,MCG -03-34-017,PGC 045908,UGCA 335"
822,NGC1637,G,04:41:28.18,-02:51:28.7,Eri,3.18,2.74,10.85,11.56,10.85,https://en.wikipedia.org/wiki/NGC_1637,,"2MASX J04412822-0251289,IRAS 04389-0257,MCG +00-12-068,PGC 015821,UGCA 093"
823,NGC0278,G,00:52:04.31,+47:33:01.8,Cas,2.36,2.3,10.85,11.49,10.85,https://en.wikipedia.org/wiki/NGC_278,,"2MASX J00520430+4733019,IRAS 00492+4716,MCG +08-02-016,PGC 003051,UGC 00528"
825,NGC2681,G,08:53:32.74,+51:18:49.2,UMa,3.97,3.97,10.86,11.15,10.86,https://en.wikipedia.org/wiki/NGC_2681,,"2MASX J08533273+5118493,IRAS 08500+5130,MCG +09-15-041,PGC 024961,UGC 04645"
827,NGC7090,G,21:36:28.86,-54:33:26.4,Ind,8.15,1.63,10.87,11.31,10.87,https://en.wikipedia.org/wiki/NGC_7090,,"2MASX J21362886-5433263,ESO 188-012,ESO-LV 188-0120,IRAS 21329-5446,PGC 067045"
828,NGC4450,G,12:28:29.63,+17:05:05.8,Com,5.46,3.78,10.87,10.81,10.87,https://en.wikipedia.org/wiki/NGC_4450,,"2MASX J12282963+1705058,IRAS 12259+1721,MCG +03-32-048,PGC 041024,UGC 07594"
829,NGC4350,G,12:23:57.87,+16:41:36.3,Com,2.8,1.33,10.87,11.81,10.87,https://en.wikipedia.org/wiki/NGC_4350,,"2MASX J12235781+1641360,MCG +03-32-023,PGC 040295,UGC 07473"
830,NGC1427,G,03:42:19.42,-35:23:33.2,For,4.33,2.87,10.88,11.78,10.88,https://en.wikipedia.org/wiki/NGC_1427,,"ESO 358-052,ESO-LV 358-0520,MCG -06-09-021,PGC 013609"
832,NGC3338,G,10:42:07.54,+13:44:49.2,Leo,1.23,0.71,10.88,11.44,10.88,https://en.wikipedia.org/wiki/NGC_3338,,"2MASX J10420754+1344489,IRAS 10394+1400,MCG +02-27-041,PGC 031883,SDSS J104207.53+134449.2,SDSS J104207.54+134449.2,UGC 05826"
833,NGC3169,G,10:14:15.05,+03:27:57.9,Sex,4.34,2.65,10.89,11.25,10.89,https://en.wikipedia.org/wiki/NGC_3169,,"2MASX J10141509+0327580,IRAS 10116+0342,MCG +01-26-026,PGC 029855,SDSS J101414.21+032802.6,SDSS J101415.04+032758.0,UGC 05525"
834,NGC2974,G,09:42:33.28,-03:41:56.9,Sex,3.48,2.13,10.89,11.88,10.89,https://en.wikipedia.org/wiki/NGC_2974,,"2MASX J09423326-0341568,IRAS 09400-0328,MCG +00-25-008,PGC 027762,UGCA 172"
837,NGC4267,G,12:19:45.24,+12:47:53.8,Vir,2.55,1.76,10.89,11.82,10.89,https://en.wikipedia.org/wiki/NGC_4267,,"2MASX J12194528+1247540,MCG +02-32-004,PGC 039710,SDSS J121945.27+124753.7,UGC 07373"
838,NGC3949,G,11:53:41.72,+47:51:31.3,UMa,2.26,1.32,10.89,11.37,10.89,https://en.wikipedia.org/wiki/NGC_3949,,"2MASX J11534174+4751316,IRAS 11510+4808,MCG +08-22-029,PGC 037290,SDSS J115341.72+475131.3,UGC 06869"
843,NGC5576,G,14:21:03.68,+03:16:15.6,Vir,2.83,1.87,10.9,11.79,10.9,https://en.wikipedia.org/wiki/NGC_5576,,"2MASX J14210369+0316157,MCG +01-37-007,PGC 051275,UGC 09183"
850,NGC1964,G,05:33:21.76,-21:56:44.8,Lep,5.16,2.33,10.91,11.53,10.91,https://en.wikipedia.org/wiki/NGC_1964,,"2MASX J05332175-2156447,ESO 554-010,ESO-LV 554-0100,IRAS 05312-2158,MCG -04-14-003,PGC 017436"
851,NGC3593,G,11:14:37.00,+12:49:03.6,Leo,4.69,1.85,10.91,11.85,10.91,https://en.wikipedia.org/wiki/NGC_3593,,"2MASX J11143700+1249048,IRAS 11119+1305,MCG +02-29-014,PGC 034257,SDSS J111436.99+124903.6,SDSS J111437.00+124903.6,UGC 06272"
852,NGC0986,G,02:33:34.35,-39:02:42.2,For,3.77,3.03,10.91,11.65,10.91,https://en.wikipedia.org/wiki/NGC_986,,"2MASX J02333434-3902422,ESO 299-007,ESO-LV 299-0070,IRAS 02315-3915,MCG -07-06-015,PGC 009747"
855,NGC0672,G,01:47:54.52,+27:25:58.0,Tri,7.01,2.71,10.92,11.41,10.92,https://en.wikipedia.org/wiki/NGC_672,,"2MASX J01475452+2725580,IRAS 01450+2710,MCG +04-05-011,PGC 006595,UGC 01256"
856,NGC2090,G,05:47:01.89,-34:15:02.2,Col,4.47,1.67,10.92,11.48,10.92,https://en.wikipedia.org/wiki/NGC_2090,,"2MASX J05470188-3415021,ESO 363-023,ESO-LV 363-0230,IRAS 05452-3416,MCG -06-13-009,PGC 017819"
857,NGC1187,G,03:02:37.59,-22:52:01.8,Eri,4.14,3.02,10.92,11.37,10.92,https://en.wikipedia.org/wiki/NGC_1187,,"2MASX J03023758-2252017,ESO 480-023,ESO-LV 480-0230,IRAS 03003-2303,MCG -04-08-016,PGC 011479,UGCA 049"
858,NGC4373,G,12:25:17.82,-39:45:35.0,Cen,3.98,2.11,10.92,11.9,10.92,https://en.wikipedia.org/wiki/NGC_4373,,"2MASX J12251781-3945347,ESO 322-006,ESO-LV 322-0060,MCG -06-27-025,PGC 040498"
859,NGC3348,G,10:47:10.00,+72:50:22.8,UMa,2.13,2.13,10.92,11.94,10.92,https://en.wikipedia.org/wiki/NGC_3348,,"2MASX J10470999+7250228,MCG +12-10-077,PGC 032216,UGC 05875"
861,NGC4179,G,12:12:52.11,+01:17:58.9,Vir,4.48,1.22,10.93,11.86,10.93,https://en.wikipedia.org/wiki/NGC_4179,,"2MASX J12125210+0117588,MCG +00-31-038,PGC 038950,SDSS J121252.11+011758.8,UGC 07214"
862,NGC4689,G,12:47:45.56,+13:45:46.1,Com,3.82,2.86,10.93,11.55,10.93,https://en.wikipedia.org/wiki/NGC_4689,,"2MASX J12474552+1345456,IRAS 12452+1402,MCG +02-33-022,PGC 043186,SDSS J124745.56+134546.1,UGC 07965"
863,NGC3887,G,11:47:04.57,-16:51:16.6,Crt,3.27,2.57,10.93,11.4,10.93,https://en.wikipedia.org/wiki/NGC_3887,,"2MASX J11470456-1651167,IRAS 11445-1634,MCG -03-30-012,PGC 036754,UGCA 246"
865,IC0433,G,05:40:31.35,-11:39:56.1,Lep,1.42,1.12,,,10.93,https://en.wikipedia.org/wiki/IC_433,,"2MASX J05403134-1139561,MCG -02-15-008,PGC 017580"
866,NGC1448,G,03:44:31.92,-44:38:41.4,Hor,8.02,1.53,10.94,11.38,10.94,https://en.wikipedia.org/wiki/NGC_1448,,"2MASX J03443191-4438413,ESO 249-016,ESO-LV 249-0160,IRAS 03428-4448,MCG -07-08-005,PGC 013727"
868,NGC2859,G,09:24:18.53,+34:30:48.6,LMi,3.19,2.78,10.94,11.87,10.94,https://en.wikipedia.org/wiki/NGC_2859,,"2MASX J09241854+3430481,MCG +06-21-030,PGC 026649,SDSS J092418.53+343048.5,UGC 05001"
870,NGC0596,G,01:32:52.08,-07:01:54.6,Cet,2.14,1.58,10.95,11.85,10.95,https://en.wikipedia.org/wiki/NGC_596,,"2MASX J01325190-0701535,MCG -01-05-005,PGC 005766"
871,IC0398,G,04:58:12.56,-07:46:48.9,Eri,1.18,0.34,,,10.95,https://en.wikipedia.org/wiki/IC_398,,"2MASX J04581253-0746493,IRAS 04558-0751,MCG -01-13-040,PGC 016433"
872,NGC4548,G,12:35:26.45,+14:29:46.8,Com,5.55,4.52,10.96,10.94,10.96,https://en.wikipedia.org/wiki/Messier_91,,"2MASX J12352642+1429467,IRAS 12328+1446,MCG +03-32-075,PGC 041934,SDSS J123526.45+142946.8,UGC 07753"
873,NGC3223,G,10:21:35.08,-34:16:00.5,Ant,4.28,2.79,10.96,11.78,10.96,https://en.wikipedia.org/wiki/NGC_3223,,"2MASX J10213507-3416004,ESO 375-012,ESO-LV 375-0120,IRAS 10193-3400,MCG -06-23-023,PGC 030308"
875,NGC4845,G,12:58:01.19,+01:34:33.0,Vir,5.5,1.2,10.97,11.9,10.97,https://en.wikipedia.org/wiki/NGC_4845,,"2MASX J12580124+0134320,IRAS 12554+0150,MCG +00-33-025,PGC 044392,SDSS J125801.18+013433.0,SDSS J125801.19+013433.0,UGC 08078"
876,IC4329,G,13:49:05.31,-30:17:45.1,Cen,4.74,2.65,10.97,12.24,10.97,https://en.wikipedia.org/wiki/IC_4329,,"2MASX J13490531-3017452,ESO 445-046,ESO-LV 445-0460,MCG -05-33-019,PGC 049025"
878,NGC3705,G,11:30:07.46,+09:16:35.9,Leo,4.31,1.74,10.97,11.76,10.97,https://en.wikipedia.org/wiki/NGC_3705,,"2MASX J11300745+0916358,IRAS 11275+0933,MCG +02-29-039,PGC 035440,UGC 06498"
879,NGC7205,G,22:08:34.29,-57:26:33.3,Tuc,3.7,1.71,10.97,11.56,10.97,https://en.wikipedia.org/wiki/NGC_7205,,"2MASX J22083427-5726331,ESO 146-009,ESO-LV 146-0090,IRAS 22052-5741,PGC 068128"
880,NGC4503,G,12:32:06.23,+11:10:35.1,Vir,3.48,1.58,10.97,11.95,10.97,https://en.wikipedia.org/wiki/NGC_4503,,"2MASX J12320619+1110351,MCG +02-32-118,PGC 041538,SDSS J123206.23+111035.0,UGC 07680"
881,NGC1600,G,04:31:39.94,-05:05:10.5,Eri,3.33,2.02,10.97,11.94,10.97,https://en.wikipedia.org/wiki/NGC_1600,,"2MASX J04313985-0505099,MCG -01-12-017,PGC 015406"
883,NGC7457,G,23:00:59.93,+30:08:41.8,Peg,3.95,2.25,10.98,11.87,10.98,https://en.wikipedia.org/wiki/NGC_7457,,"2MASX J23005993+3008416,MCG +05-54-026,PGC 070258,UGC 12306"
884,NGC3626,G,11:20:03.81,+18:21:24.6,Leo,2.94,1.94,10.98,11.8,10.98,https://en.wikipedia.org/wiki/NGC_3626,,"2MASX J11200379+1821244,C 040,MCG +03-29-032,PGC 034684,SDSS J112003.81+182124.6,UGC 06343"
885,NGC1515,G,04:04:02.72,-54:06:00.2,Dor,5.5,1.26,10.99,11.91,10.99,https://en.wikipedia.org/wiki/NGC_1515,,"2MASX J04040271-5406002,ESO 156-036,ESO-LV 156-0360,IRAS 04028-5414,PGC 014397"
886,NGC4691,G,12:48:13.63,-03:19:57.8,Vir,3.03,2.46,10.99,11.52,10.99,https://en.wikipedia.org/wiki/NGC_4691,,"2MASX J12481367-0319585,IRAS 12456-0303,MCG +00-33-013,PGC 043238,SDSS J124813.63-031957.7,SDSS J124813.65-031958.2,UGCA 299"
890,NGC7184,G,22:02:39.82,-20:48:46.2,Aqr,5.98,1.26,11.0,11.7,11.0,https://en.wikipedia.org/wiki/NGC_7184,,"2MASX J22023982-2048461,ESO 601-009,ESO-LV 601-0090,IRAS 21599-2103,MCG -04-52-009,PGC 067904,UGCA 425"
891,NGC3877,G,11:46:07.70,+47:29:39.6,UMa,5.36,1.23,11.0,11.8,11.0,https://en.wikipedia.org/wiki/NGC_3877,,"2MASX J11460778+4729401,IRAS 11434+4746,MCG +08-22-002,PGC 036699,SDSS J114607.79+472941.1,SDSS J114607.80+472941.1,SDSS J114607.80+472941.2,UGC 06745"
